1997, -814, -1997
1997, -405, -1971
1888, 1827, -1382
-1304, 1997, 378
-1998, 1997, 1882
-1998, 1997, 1771
-1998, 1914, 1363
-,-,-
840, 316, -444
1965, 276, -1038
1997, -600, -1872
1997, -1346, -1997
1997, 612, -1997
1409, 1997, -1226
-1924, 1997, 1503
-1998, 1997, 1998
-,-,-
359, 13, -651
1533, 283, -1434
1997, -82, -1941
1997, -1105, -1997
1997, 14, -1997
1983, 1965, -1872
-998, 1997, -1185
-1998, 1997, 744
-1998, 1997, 1818
-,-,-
1166, -179, -1108
1997, -524, -1943
1997, -970, -1997
1997, -444, -1997
1997, 1668, -1997
1139, 1997, -1797
-1960, 1997, -408
-1998, 1997, 1760
-1998, 1997, 1885
-,-,-
718, 266, -558
1839, 359, -1256
1997, -576, -1989
1997, -1373, -1997
1997, 756, -1997
1927, 1997, -1997
-1116, 1997, -1179
-1998, 1997, 769
-1998, 1997, 1615
-,-,-
1866, 11, -1449
1997, -473, -1993
1997, -574, -1997
1997, 1442, -1997
1997, 1997, -1967
-547, 1997, -248
-1998, 1997, 1830
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1997, -25, -1391
1997, -1293, -1997
1997, -1220, -1997
1997, 1300, -1997
1909, 1997, -1823
-849, 1997, 146
-1998, 1997, 1867
-1998, 1997, 1965
-1998, 1997, 1925
-,-,-
1997, -1323, -1997
1997, 354, -1997
1997, 1990, -1997
1561, 1997, -1533
-1828, 1997, 1170
-1998, 1997, 1863
-1998, 1997, 1998
-1998, 1915, 1965
-1998, 767, 1822
-,-,-
1997, -294, -1865
1997, -897, -1997
1997, 19, -1997
1997, 1953, -1997
1602, 1997, -1501
-1701, 1997, 706
-1998, 1997, 1746
-1998, 1997, 1998
-1998, 1988, 1916
-1998, 1406, 1727
-1998, 705, 1637
-,-,-
1997, -371, -1993
1997, -719, -1997
1997, 240, -1997
1997, 1963, -1997
1817, 1997, -1471
-1140, 1997, 1368
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1997, -997, -1997
1997, 328, -1997
1997, 1957, -1997
1965, 1997, -1960
-209, 1997, -575
-1998, 1997, 1634
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1905, 1998
-1998, 792, 1935
-,-,-
1997, -773, -1960
1997, -1286, -1997
1997, -165, -1997
1997, 1819, -1997
1698, 1997, -1571
-1119, 1997, 1122
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1994, 1998
-,-,-
1997, -1203, -1874
1997, -1072, -1997
1997, 455, -1997
1997, 1983, -1996
1992, 1997, -1593
75, 1997, -187
-1988, 1997, 1063
-1998, 1997, 1695
-1998, 1997, 1970
-1998, 1848, 1998
-1975, 995, 1998
-1869, 704, 1922
-1998, 669, 1392
-,-,-
1128, 205, -1103
1994, -373, -1959
1997, -1485, -1997
1997, 306, -1997
1997, 1991, -1997
1772, 1997, -1883
-1504, 1997, 270
-1998, 1997, 1931
-1998, 1997, 1998
-1998, 1984, 1998
-1998, 1211, 1998
-,-,-
1997, -468, -1931
1997, -885, -1997
1997, 238, -1997
1997, 1958, -1997
1992, 1997, -1801
